circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,SHABAD,AGRICULTURAL,5,804,779.0,0,3022.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TALLAPALLY,AGRICULTURAL,5,286,280.0,0,1075.13
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TIMMA REDDY GUDA,AGRICULTURAL,5,108,108.0,0,405.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ALLAWADA,AGRICULTURAL,5,153,148.0,0,573.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ALOOR,AGRICULTURAL,5,435,418.0,1250,1629.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ANTHA RAM (A),AGRICULTURAL,5,94,89.0,0,352.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,BESTEPOR,AGRICULTURAL,5,176,169.0,0,660.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHENEVELLY,AGRICULTURAL,5,342,329.0,875,1235.61
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHEVELLA,AGRICULTURAL,5,283,264.0,0,1061.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TIRMALA POOR,AGRICULTURAL,5,37,37.0,0,138.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,UBAGUNTA,AGRICULTURAL,5,48,48.0,0,180.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,VENKAMMA GUDA,AGRICULTURAL,5,22,22.0,0,82.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,YENKAMMA GUDAA,AGRICULTURAL,5,12,12.0,0,45.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KOTHAPALLY,AGRICULTURAL,5,9,7.0,0,33.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHINNARAVULAPALLY,AGRICULTURAL,5,134,131.0,0,502.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,D ERRAVELLY,AGRICULTURAL,5,199,181.0,5010,754.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DAMARU GIDDA,AGRICULTURAL,5,189,175.0,0,705.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DEVARAMPALLY,AGRICULTURAL,5,112,109.0,0,417.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DHARMA SAGAR,AGRICULTURAL,5,33,25.0,0,123.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,DUDYAGU,AGRICULTURAL,5,24,22.0,0,90.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,KHANAPUR,AGRICULTURAL,5,2,2.0,0,7.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,MANIKONDA,AGRICULTURAL,5,32,1.0,0,120.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,EARLA PALLY,AGRICULTURAL,5,148,144.0,0,555.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,EKKAREDDY GUDA,AGRICULTURAL,5,37,32.0,0,128.99
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ERRANI KOTLA,AGRICULTURAL,5,6,6.0,0,22.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,GOLLA GUDA,AGRICULTURAL,5,46,45.0,0,172.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,GOLLAPALLY,AGRICULTURAL,5,134,111.0,0,502.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,GUNDAL,AGRICULTURAL,5,311,303.0,0,1166.25
